empl_chge_lc1vs0_iate,emplx2_2
1.016346143458439,2.0
1.1202698212045947,2.0
-1.1968267266489452,2.0
-0.19419575004155626,2.0
1.6205306938232957,2.0
-0.6771010807024906,2.0
-0.4684552605428029,2.0
-0.7338456050355576,1.0
-0.5750774147186918,2.0
-0.41659173557418827,2.0
-0.5323213652362289,1.0
0.7478608096339434,2.0
-0.7273579307787555,1.0
-0.1712736906968156,2.0
1.1445829333267126,1.0
-0.5704467160249447,2.0
-0.14987709403128613,1.0
-0.2642558171403059,2.0
0.3889320791046681,2.0
-0.21752413101214188,2.0
0.24740729400053052,1.0
-0.7664450323124162,1.0
0.21648234397624072,2.0
-0.27905237871702837,2.0
1.5502422866223189,2.0
1.0580436259180637,2.0
-0.2711480754446987,1.0
-0.20605253908809323,2.0
-0.6310448157282371,2.0
-0.305817497479672,2.0
-0.6708575376419847,1.0
0.13087227028157178,2.0
0.6161851318922889,2.0
-0.9969238930200087,2.0
1.90283315057173,2.0
1.275317451595,2.0
0.5762631284469479,2.0
-0.11095239714142502,2.0
-0.34217179392875596,2.0
1.1214572135744185,2.0
1.0454282275996551,2.0
1.4241942750925998,2.0
-0.18469972568064721,2.0
1.0769369224345364,2.0
0.7295457570538699,1.0
1.004463443335644,2.0
-0.03680177899113768,1.0
-0.1701085693369102,2.0
-0.5105270759049922,2.0
-1.0237789707311284,2.0
-0.13871576527109325,2.0
-0.3203527618562373,2.0
0.6538542974961521,2.0
1.5495609527018117,2.0
1.891230937082862,1.0
0.17268060102734195,2.0
-0.33287205943910136,2.0
-0.5686587727719197,2.0
0.189335059739423,2.0
0.2785141549483857,2.0
0.09068218138581807,2.0
0.9216553766404922,2.0
-0.8620415821753645,2.0
0.4332140446500507,2.0
1.1478966827705466,2.0
-1.0423260837494195,2.0
1.0689055581392495,2.0
-0.2784354261428702,2.0
0.17595429432951915,2.0
-0.5639284878088442,2.0
1.9543066398457358,2.0
0.6688189355133312,2.0
0.4293289372469432,2.0
0.48579591356304436,2.0
-0.04918182062029147,2.0
-0.9405597604861258,2.0
-0.5646031339434906,2.0
1.4209914838989803,2.0
0.44567655635139036,2.0
2.2546462138956507,2.0
0.16335071069630214,2.0
-0.009344424150518948,2.0
0.2393379752563678,1.0
1.1755735954590447,2.0
0.13484854992488904,2.0
-0.05246848381989677,2.0
1.41427436770609,1.0
-0.02883205647085124,2.0
1.0429126236825585,1.0
0.9331482773073906,2.0
0.1952217540057864,1.0
0.17182968750458472,2.0
0.6993655828732366,1.0
-0.8350528899824249,2.0
1.9889742514703137,2.0
0.6831638570717469,2.0
-0.8639323689862086,1.0
-0.33625381512989627,2.0
-0.3434191726148802,2.0
1.316435160865492,3.0
