sal_3_lc2vs0_iate,empl_x0
-20993.054162186527,56.0
-26006.664028712985,81.0
-30701.086830027765,78.0
-32024.413950956303,63.0
-31002.42089147622,95.0
-23957.31772903278,93.0
-30747.478638941102,79.0
-29786.16399011133,97.0
-34622.4138394645,37.0
-20685.095385505483,54.0
-34342.65920710647,72.0
-18498.778800325665,91.0
-27514.23177224936,75.0
-24069.581192984137,71.0
-23886.024086512414,42.0
-33277.6991412755,46.0
-35776.489279590765,108.0
-31354.54899889963,46.0
-21626.41680210899,68.0
-33564.3729707742,44.0
-24742.570857717474,68.0
-34581.56386554417,72.0
-40121.310755390805,76.0
-22656.771029624462,87.0
-26678.406632575232,67.0
-23880.96785965487,48.0
-17475.586852033462,44.0
-22648.867163033578,94.0
-18661.276550745384,22.0
-30246.711634173884,52.0
-25562.44706700555,87.0
-25651.96894395953,90.0
-38087.796170957125,93.0
-27234.44420525523,48.0
-28654.22512834871,34.0
-19657.63940066821,102.0
-34932.434346408496,58.0
-22140.7201936181,86.0
-24690.532869898776,77.0
-35630.82591549419,42.0
-33098.61673814451,67.0
-33915.01011517286,68.0
-32124.455335516184,90.0
-25990.03536399454,89.0
-37169.60282394562,60.0
-24407.05470671395,42.0
-35999.81865827128,63.0
-30671.71633806545,54.0
-17187.185233370543,71.0
-36736.32782928317,79.0
-33810.16908897588,79.0
-18878.66472179385,42.0
-29699.48929929201,101.0
-20042.00850389083,42.0
-24313.248974419846,45.0
-25669.195889592942,71.0
-17515.323195079116,49.0
-24166.242844609893,47.0
-27209.757823672408,95.0
-38100.05957938755,78.0
-33270.322643754014,51.0
-22008.941192280035,49.0
-37162.99329030995,86.0
-29773.490337336832,67.0
-20901.246092109635,61.0
-21495.748804194933,46.0
-31743.424600578124,34.0
-30293.148680099097,69.0
-30482.194576242833,88.0
-17311.805453169767,64.0
-30261.31664094555,93.0
-24042.444286328486,59.0
-35535.37648891471,50.0
-29459.07754878894,58.0
-21413.65468827801,84.0
-28855.967858263255,62.0
-36357.0360753125,59.0
-31772.27182378189,71.0
-21407.54964929295,90.0
-37232.764046262615,54.0
-22707.53104032122,79.0
-32107.601784711747,69.0
-29464.220817560257,59.0
-29167.66108166614,69.0
-26192.501600501906,47.0
-23891.140392056746,48.0
-32140.182496400113,79.0
-24756.295748412576,63.0
-20457.906678709955,33.0
-32714.602910247744,42.0
-19657.174123289027,78.0
-27466.468110148286,61.0
-24008.564902570863,78.0
-19134.26474923469,109.0
-18217.615192872145,80.0
-28586.856993727368,65.0
-35838.69374846724,51.0
-24377.24417599177,79.0
-32085.77101240856,41.0
-24320.82510806209,100.0
-31379.31409716606,44.0
-33649.61031062663,90.0
-18281.309119290323,69.0
-22562.4144576099,85.0
-25331.095667139532,41.0
-27976.289177340415,44.0
-30932.16293639523,73.0
-17992.926506390464,61.0
-31925.561163848877,83.0
-23739.09993499513,97.0
-25805.879080337563,58.0
-34125.78536808559,102.0
-24790.428531610894,45.0
-26016.058184748104,98.0
-24932.529600008005,60.0
-17470.74284820508,62.0
-24744.335150226427,35.0
-32832.504792912485,57.0
-25787.706067459327,38.0
-22634.646398098164,72.0
-32065.20132827346,48.0
-20096.616314995663,88.0
-17541.81162142545,53.0
-32739.528674698253,94.0
-31634.996810879726,77.0
-24523.755433521244,35.0
-20459.678922610132,70.0
-16998.7518079543,79.0
-17278.041349849907,57.0
-25558.919069938744,87.0
-32122.997109882366,76.0
-34065.03589450614,62.0
-22789.922180810354,97.0
-28050.729534671987,50.0
-32762.46094631036,88.0
-26510.96210459141,53.0
-24243.750538624103,56.0
-23662.33807308253,86.0
-34700.31236931239,70.0
-20472.96121311992,72.0
-23565.336908046957,26.0
-25841.2303896359,97.0
-28289.725533786805,111.0
-24537.26277822051,89.0
-19941.58707114697,54.0
-29747.179902901033,71.0
-38221.24577332382,74.0
-30909.19056669616,76.0
-35927.1240793958,75.0
-18247.802341816023,49.0
-30995.382935179645,90.0
-25156.98388972086,69.0
-17446.249378129723,74.0
-19393.23064714574,73.0
-31012.639716113736,87.0
-21866.46223973889,76.0
-25110.572887043585,43.0
