empl_ttl_lc2vs0_iate,unem_x0
-9.347334010664698,19.0
-9.67178011963339,10.0
-10.125196874435467,21.0
-9.067462890651974,12.0
-10.698052156156301,10.0
-10.780781970371839,6.0
-9.566338840892909,17.0
-11.287020626085997,11.0
-9.705643604776414,2.0
-9.858051672354597,4.0
-9.650417658272422,1.0
-9.596980564043257,24.0
-10.018149255992475,16.0
-9.544479766007282,22.0
-10.776387505439082,0.0
-12.259455445310294,19.0
-9.20886865274426,13.0
-10.1099125708964,3.0
-10.14279084052352,24.0
-9.513543830702595,19.0
-8.92543477087839,9.0
-11.286535989048293,21.0
-10.336605236214753,9.0
-10.574036951755113,8.0
-10.158127251145057,1.0
-11.4778397237463,17.0
-9.947673560303718,7.0
-9.944710203782048,15.0
-9.095094030201622,11.0
-9.521586721854614,9.0
-10.53982984200605,20.0
-10.182620294655472,6.0
-10.28934573538581,6.0
-9.542534155201723,15.0
-11.452983844955433,7.0
-10.913401623900691,11.0
-11.776644265178343,4.0
-9.59649601351595,24.0
-8.629679696475211,20.0
-12.1403507645541,19.0
-11.182605011728684,12.0
-11.770611089293505,5.0
-9.86179427411541,14.0
-10.723228352565677,12.0
-10.598166894530099,16.0
-11.141752223323262,19.0
-10.394673545090527,2.0
-9.796157304918495,6.0
-10.196654175548144,0.0
-10.20457878833499,19.0
-9.621218929602048,17.0
-10.629294582118707,3.0
-9.339841664956108,5.0
-10.696309529677224,22.0
-8.582268341995643,6.0
-9.292605038941087,19.0
-12.78790037497549,4.0
-9.253769917042474,2.0
-8.284606624888177,3.0
-10.973418178268616,15.0
-9.735636140390943,6.0
-10.992329758518164,3.0
-10.73230382690097,7.0
-10.006929060107534,17.0
-11.34146903350863,21.0
-9.926139877973252,12.0
-11.592884985293907,16.0
-10.860650812078907,10.0
-9.294450625513909,3.0
-9.53578932539186,24.0
-11.03400014442434,4.0
-9.243411594410654,11.0
-10.041381952128539,6.0
-11.669805530623453,16.0
-9.537144899935214,10.0
-10.428778330561174,1.0
-10.487787362393705,11.0
-10.212332601368015,17.0
-9.145113185484481,13.0
-10.019545341845536,0.0
-9.775999620320356,1.0
-9.463984445990036,2.0
-11.583016628361467,20.0
-10.249176167658284,21.0
-11.030087960506858,24.0
-10.18455619309127,17.0
-9.441878948498942,4.0
-10.018504310382744,23.0
-9.822874664155275,9.0
-9.613718251836763,7.0
-11.342043608851174,8.0
-8.88665575099707,5.0
-9.285120797421548,10.0
-10.636115068296876,8.0
-10.49885722973731,19.0
-9.878289349930663,16.0
-11.69892061013881,18.0
-9.92624999451982,13.0
-9.612471432437909,0.0
-9.51463885886486,9.0
-9.360019428074912,20.0
-11.311689514267638,23.0
-10.140698343664086,19.0
-9.486842378388834,15.0
-9.305661767367361,16.0
-10.822480317175193,14.0
-11.738929014598918,11.0
-11.31889374781294,2.0
-9.491651796154832,8.0
-12.188711946963426,19.0
-9.02475595426335,14.0
-9.336688130208723,15.0
-9.519800820894122,19.0
-10.307713747525932,8.0
-10.224888565744264,16.0
-10.982170799316478,6.0
-11.912576904362258,7.0
-9.817522011884162,9.0
-11.0818612785644,21.0
-11.01959342565756,2.0
-9.813567397355847,4.0
-11.332214918923114,24.0
-9.930870858657478,17.0
-10.169157714168094,4.0
-10.492440688412843,22.0
-10.235420561475541,3.0
-10.429124460314352,21.0
-9.47261115340988,22.0
-9.958408927226598,23.0
-9.216942540894106,1.0
-9.593378043237607,2.0
-10.190927574373145,15.0
-10.61130398916439,21.0
-12.255218375336359,4.0
-9.57664646597349,8.0
-11.74283834672664,1.0
-10.172458005826734,12.0
-9.742013597426968,24.0
-10.148641931694009,3.0
-10.268371421697534,19.0
-9.806660493624106,21.0
-11.069052756499204,16.0
-10.667775120285754,4.0
-11.840391981867867,9.0
-10.748054560323304,12.0
-8.886479640735416,1.0
-9.780587576168049,18.0
-8.69071745076787,2.0
-9.061127366905895,4.0
-8.675637997949487,16.0
-11.260196896090378,11.0
-12.055754536986818,22.0
-9.137894605871523,16.0
-8.957189950288484,8.0
-11.228605982626888,19.0
-11.112397043032146,16.0
-9.78644184248696,1.0
-8.656651116833418,5.0
-9.792808546210082,0.0
-10.33974612813251,5.0
-9.820336972592349,20.0
-11.368652097763466,4.0
-9.814190963101181,4.0
-9.658080640060025,24.0
-9.35266227590375,21.0
-10.42572999435642,23.0
-10.922492113103761,14.0
-9.24656657571964,9.0
-9.563362581216467,19.0
-9.856287708641272,11.0
-10.099052431405031,7.0
-10.814126871807417,7.0
-9.902383660252584,2.0
-11.240280440975043,2.0
-9.527521767017118,19.0
-9.539111513012717,7.0
-11.50169813414724,16.0
-10.202147949774425,14.0
-10.15034302868655,21.0
-10.60171750226175,16.0
-10.201187426437636,23.0
-10.985711805108247,1.0
-9.843455648377809,10.0
-12.872738234889786,13.0
-10.427771257673033,1.0
-10.438178656611589,6.0
-8.89225937271064,20.0
-10.492404972487266,14.0
-10.933680316870438,19.0
-11.30313570886622,10.0
-10.378504862701995,6.0
-11.744180426503563,16.0
-9.673192930004543,3.0
-11.25721133054749,21.0
-10.056814168321896,6.0
-10.002570109832302,23.0
-11.388547432537084,9.0
-9.701964504924641,8.0
-9.342115754879242,23.0
-10.481344483174059,12.0
-11.62989179331705,23.0
-9.518828659809522,6.0
-13.441702420229326,8.0
-11.313016390975642,22.0
-10.37908494435603,5.0
-10.817271521049648,21.0
-11.018971298786958,23.0
-12.16125927763094,19.0
-10.142850712648475,13.0
-8.624330093421898,8.0
-10.478384128452507,12.0
-10.632011010156216,17.0
-10.349322521458815,23.0
-10.676874789177646,15.0
-9.167117032243246,14.0
-10.042504200130374,16.0
-10.610822672358307,21.0
-11.110776703474842,13.0
-10.816250417044923,13.0
-10.783383355849612,9.0
-10.340302046849912,17.0
-10.223293387528875,0.0
-11.406639185759243,5.0
-9.528904222337903,3.0
-11.477486452282125,18.0
-9.997483187868927,17.0
-11.154022290322391,18.0
-11.17812053368739,24.0
-9.923288916560558,1.0
-10.374016904535617,6.0
-11.521397530848914,20.0
-9.970701887984884,21.0
-8.953805163063336,19.0
-10.971302613499466,22.0
-9.894411112297984,14.0
-11.854262451703814,6.0
-10.257442932922618,16.0
-9.99747940218679,23.0
-11.107373065468476,9.0
-9.162323028770311,14.0
-10.578525116206041,5.0
-10.750208856522391,15.0
-9.007711079361297,22.0
-9.68087210569712,7.0
-11.586140998366405,21.0
-11.686485499704318,1.0
-11.540218908567791,22.0
-10.242271981586086,16.0
-12.038247020891703,15.0
-10.587291099735074,13.0
-8.751450093282681,0.0
-9.9009604271566,23.0
-10.469428876260821,23.0
-10.878738945906422,13.0
-10.751906440401353,17.0
-9.316990240523364,22.0
-9.817675811288801,2.0
-10.496875461400517,22.0
-11.246804058968706,16.0
-11.018289430117054,5.0
-9.580498898120243,15.0
-10.808012419138183,5.0
-12.779196046340378,15.0
-10.456275286741576,7.0
-11.027134169902304,16.0
-10.85387923063416,22.0
-8.549155341487035,7.0
-10.435295020536746,12.0
-10.249101044033443,4.0
-11.584139272691045,10.0
-10.461160108639366,20.0
-9.608489660321762,22.0
-10.235614208956937,4.0
-8.768641652266123,22.0
-8.99054138577705,4.0
-9.390123510302153,16.0
-9.853037960329495,3.0
-9.171556779633875,22.0
-9.153306115738497,12.0
-9.804490675375357,0.0
-9.691843570056495,11.0
-9.635464708458727,20.0
-10.552874767897478,9.0
-9.999610722909305,6.0
-10.138356621059723,21.0
-9.884690330298668,1.0
-9.639244340462891,1.0
-12.788249154340035,18.0
-9.190897254344359,14.0
-10.665786460200989,9.0
-10.754121143792771,22.0
-9.430928378187026,13.0
-10.20487647570347,10.0
-9.659496139819051,20.0
-9.458337722119822,12.0
-11.216514320528262,18.0
-10.28469481710285,6.0
-12.220061607295298,17.0
-10.47822848146247,10.0
-12.049263177263846,9.0
-9.467508342033874,6.0
-9.781593320294144,18.0
-9.99066470765021,14.0
-10.21441576004684,18.0
-10.162623956238859,16.0
-10.377117697282912,4.0
-10.341176333848685,23.0
-9.914598216542572,3.0
-9.210602341166167,22.0
-10.980338189680797,6.0
-9.336110424206453,15.0
-9.258917669161171,17.0
-9.54422547667037,11.0
-10.152558416879913,21.0
-9.566219103502466,13.0
-10.900926992746795,15.0
-9.973838143487423,15.0
-10.351412955820866,8.0
-11.316406260626806,10.0
-10.940603920193283,23.0
-11.977524367500717,19.0
-9.264114444275505,17.0
-9.442252776356915,7.0
-9.974842412365083,7.0
-9.877223491787227,4.0
-8.91849683196386,18.0
-9.556823508097162,23.0
-11.720660562273263,6.0
-12.000499363350233,1.0
-9.823579834693163,8.0
-9.994237546437244,23.0
-10.632988933463778,10.0
-11.039340977956396,1.0
-9.740423898803604,10.0
-9.224260758830582,19.0
-9.086190860478839,21.0
-10.409090754044595,4.0
-10.725253437732597,3.0
-9.729145285995646,12.0
-10.109974853641194,10.0
-10.397391499003689,1.0
-9.722419800726621,24.0
-9.431017053556612,18.0
-9.301758735516351,12.0
-10.301525818804986,13.0
-9.379448239830909,11.0
-11.531952352425526,1.0
-12.100847611272684,11.0
-8.632653840412354,13.0
-9.633778723387522,11.0
-9.021791104141485,10.0
-10.753821859335291,11.0
-9.987409141227033,23.0
-9.743062607223322,19.0
-10.667531826625899,3.0
-9.195623920483374,24.0
-9.287575813947955,22.0
-10.859802754761622,4.0
-10.691177151813179,10.0
-10.618449571743863,8.0
-10.102856928943684,15.0
-11.060970170271602,6.0
-9.981825059486185,12.0
-10.797872505180138,9.0
-11.1919417849245,20.0
-10.05429037069968,21.0
-9.79556349015397,16.0
-9.709884240781387,17.0
-9.087213401035262,19.0
-11.234045802718818,14.0
-10.1093367095208,16.0
-8.667626420449775,12.0
-8.939951380047317,6.0
-9.675925708200737,21.0
-9.435373551393079,15.0
-9.49968768012738,10.0
-9.093441729561118,23.0
-10.924176694012191,1.0
-9.57043971893387,8.0
-9.386849983506705,20.0
-11.71318501069157,23.0
-9.48730418227354,11.0
-11.886816887537275,7.0
-9.826080719265478,4.0
-9.746468066298297,0.0
-9.406864232256293,7.0
-11.248815082207399,20.0
-10.320723178074475,10.0
-9.600703472893219,1.0
-9.817357099865188,10.0
-13.297140974905012,18.0
-11.521375914252255,21.0
